feed,사료|먹이|공급하다|수유|사육
major,주요한|큰|전공의|대기업|메이저
lift,들어 올리다|해제하다|엘리베이터|양력|향상시키다
let,…하게 해주다|…하도록 두다|들여보내다|방치하다|세놓다
lend,대출하다|빌려주다|돕다|부여하다
judge,판사|판단하다|평가하다|판결하다|심사하다
invent,발명하다|개발하다|고안하다|창조하다
impress,인상|감명을 주다|감동시키다
hurt,다치다|해치다|상처|타격|아프다
hunt,사냥하다|찾다|수렵하다|포획하다
hold,열다|보유하다|잡다|기다리다
happen,일어나다|벌어지다|발생하다|생기다|우연히 …하다
hang,걸다|달다|교수형에 처하다|견디다|붙이다
guess,…라고 생각하다|…인 것 같다|추측하다|맞히다|짐작하다
get,…시키다|받다|얻다|가지다|알아듣다
gather,모이다|수집하다|모임|받다|모여들다
forgive,용서하다|양해하다|탕감하다|실례지만
fit,꼭 맞는|부합|어울리는|건강한|착용
fear,두려움|우려|공포|걱정하다|불안
excuse,변명|핑계|이유|변명이 되다|구실
except,제외하다|…외에는|…이 없으면|다만|예외로 하다
doubt,의심하다|의혹|불확실하다|소문
divide,나누다|분할하다|분열시키다|가르다|분리하다
disappoint,실망시키다|낙담시키다|기대에 어긋나다|망치다
destroy,파괴하다|파멸시키다|훼손하다|손상시키다|없애다
cost,비용|들다|가격|얼마이다|경비
correct,정확한|수정하다|맞다|올바른|옳은
consist,이루어지다|구성되다
connect,연결하다|관련시키다|이어지다|접속하다|관계시키다
complete,완성된|완전한|완료하다|마치다|끝내다
complain,불평하다|호소하다|고발하다|투덜거리다
burn,타다|화상|연소하다|소비하다|굽다
bring,가지고 다니다|가져다 주다|데려오다|일으키다|생기다
break,깨다|부러지다|휴식|중단하다|어기다
borrow,빌리다|대여하다|차용하다|빚지다
belong,속하다|…의 것이다|소유하다|어울리다
believe,믿다|생각하다|신뢰하다|신용하다|신앙
bear,곰|부담하다|참다|맺다
avoid,피하다|회피하다|막다|자제하다|예방하다
attract,유치하다|끌다|유혹하다|유인하다
attend,참석하다|다니다|주의하다|돌보다
past,과거의|과거형|지난|최근인|옛날의
normal,정상|일반적인|보통의|평범한|일상적인
nice,좋은|멋진|훌륭한|친절한|반가운
necessary,필요한|필수적인|불가피한
natural,자연의|천연의|당연한|타고난|정상적인
modern,현대의|근대의|오늘날의|모던|현재
lovely,사랑스런|멋진|아름다운|예쁜|귀여운
favorite,좋아하는|마음에 드는|우승 후보|인기 있는
fat,지방|비만한|뚱뚱한|기름|살찐
far,먼|훨씬|크게|많은|너무
expensive,비싼|돈이 많이 드는|고가의|많은 비용|사치스러운
excellent,훌륭한|뛰어난|좋다|우수한|잘했어
enough,충분히|충분한|만큼의|매우|족한
calm,진정시키다|차분한|침착한|조용한|가라앉히다
ancient,고대의|오래된|옛날의
alive,살아 있는|계속하여|생기에 넘치는|생생한|이 세상의
afraid,두려운|무서워하여|걱정인|미안하지만|것 같다
active,능동적인|활동적인|적극적인|활발한|현역의
