feed,사료|먹이|공급하다|수유|사육
goldfish,금붕어
starfish,불가사리
appliance,가전제품|기기
wallet,지갑
proficiency,실력 향상|능숙|유창
performance,성능|성과|수행|공연|실적
unsatisfactory,불만족스러운|불충분한
festival,축제|페스티벌|행사|…제
cosmos,우주|코스모스|질서
breeze,바람|순풍|쉬운 일|경쾌하게 드나들다
different,다른|여러 가지의|종류|별개의|독특한
dessert,디저트|후식
rabbit,토끼|래빗
hair,머리카락|털|섬유
turtle,거북|자라
cottage,집의|오두막|별장|보금자리
furnace,용광로|화장로|난방로
renewable,회복할 수 있는|계속 가능한|갱신 가능한
fuel,연료|부채질하다
coal,석탄|탄|연탄|숯
pile,쌓다|더미|모으다|저축하다
firewood,장작|땔나무
fortune,재산|행운|포춘|운|운명
beauty,아름다움|미용의|미인|미|미녀
wealth,부|재산|부유함|자원
knowledge,지식|아는 것|인지|학식
perfection,완벽|완성
rubbish,쓰레기|쓸데없는|하찮은
trash,쓰레기|버리다|손상시키다|비난하다
parcel,한 구획|소포|일부분|나누다|꾸러미로 만들다
package,패키지|포장|계획|상품|소포
underground,지하의|땅속의|언더그라운드|비밀의
subway,지하철
elevator,엘리베이터
delicious,맛있는|맛좋은|달콤한|즐거운|먹음직
behind,뒤의|뒤진|숨겨진|늦은|등
storekeeper,가게 주인|상점 경영자|소매상인
undertake,착수하다|떠맡다
assignment,과제|숙제|임무
truly,진정|정말|사실대로|진심으로|참으로
restriction,제한|규제|제약|금지|규정
daydream,몽상|상상
principal,교장|주된|원금|주요한
shift,변화|전환|이동하다|바뀌다|옮기다
example,예|사례|본보기|선례|예제
exercise,운동|훈련|행사|활동|연습
imagination,상상|창의성|착각
explain,설명하다|말하다|말이 되다|해명하다|해석하다
explanation,설명|해명|해석
wide,넓은|광범위한|다양한|넓이|널리
whatever,무엇이든|어떻든 간에
bowl,그릇|볼링|볼
wish,바라다|소원|…좋겠어|…싶다|기원하다
satellite,위성|인공위성|위성국
receptive,감수성이 풍부한|잘 받아들이는|수용하는
receiver,수신기|수신자|리시버|수화기
sympathy,공감|동정|연민|위로|애도
noteworthy,주목할 만한|현저한|눈에 띄는
wealthy,부유한|부자인
lengthy,오랜|긴
worthy,가치 있는|훌륭한|자격 있는|해볼만한
impressive,인상적인|놀라운|눈부신|감동적인
healthy,건강한|건강에 좋은|건전한|위생적인|유익한
throughout,…내내|…동안|통하여|완전히|도처에
easygoing,느긋한|너그러운|편안한 걸음걸이의
carefree,걱정이 없는|걱정 없는|태평한
absolutely,절대적으로|완전히|전혀|물론|정말로
enhance,향상하다|강화하다|증진|개선시키다|높이다
guarantee,보장하다|보증|보호|약속|장담하다
flash,플래시|불빛|섬광|번쩍이다|돌발
land,토지|땅|지역|착륙하다|국토
add,덧붙이다|더하다|추가하다|포함시키다|증가하다
action,행동|액션|효과|소송|결정
humorous,우스운|유머러스한
animation,애니메이션|만화 영화|동영상|동화
narrator,이야기하는 사람|내레이터|해설자
high-quality,
motion,운동|움직임|동작|모션|발의
cyclone,사이클론|열대성 저기압|선풍
tornado,대선풍|토네이도|대폭풍우
typhoon,태풍|폭풍|제2차 세계 대전 당시 영국 폭격기 이름
struck,사로잡히다|때린|발생한|충돌|강타한
storm,폭풍|호우|허리케인|스톰|강타
season,시즌|계절|제철|시기|시절
hurricane,허리케인|폭풍
powder,분말|가루|파우더
specific,특정한|구체적인|특별한|맞춘|상세한
periodic,주기적인|정기적인|정기의
terrific,대단한|무서운
scientific,과학적인|정밀한
scenic,경치가 좋은|경치 좋은|무대 장치의
electric,전기의|전자의
get longer,
come true,실현되다|사실이 되다|이행되다
go bold,
still,여전히|아직도|그래도|가만히|역시
fell,떨어졌다|감소했다|빠졌다|내렸다|넘어졌다
asleep,잠들어|자는|조는
tourist,관광객|관광의
aim,목표|목적|겨냥하다|노리다|조준하다
per,당|일|매|마다
within,…안에|…이내에|내부에|마음속에|…의 속에
with,함께|…때문에
without,…없이|…하지 않고
hole,구멍|홀|구덩이|동굴|허점
theme,주제|테마|제목
ticket,티켓|표|승차권|입장권|딱지
supermarket,슈퍼마켓
blanket,담요|뒤덮다|전면적인|흥을 깨는|층(層)
bracket,브라켓 |계층|받침대|층|괄호
cricket,크리켓|귀뚜라미|곱등이|땅강아지
bucket,양동이|버킷|골|엉덩이|다량
hit,치다|히트를 치다|타격|달하다|부딪히다
racket,라켓|소음|방탕하다
fantastic,멋진|환상적인|상상의|이상한|이유없는
recover,회복하다|회수하다|복구하다|되찾다|찾아내다
first class,일등석|일류|특급|수석
profit,이익|수익|이윤|순익|수입
safety,안전|안정성|보호|보안
passion,열정|흥미|감정
carp,트집잡다|잉어|「과실」 「씨」의 뜻|「수근골」의 뜻
friendship,우정|친밀|수교
cheap,싼|저렴한|손쉬운|싸구려의|인색한
chip,칩|조각|빠지다|깨지다|흠
countable,셀 수 있는|가산 명사|가산의
uncountable,셀수 없는|무수한|불가산의
sudden,갑작스러운|급작스러운|돌연한|불시의|성급한
ball,공|볼|구기|무도회|투구
glove,장갑|글러브
thread,실|옷|가는 선|공통된 주제
needle,바늘|침|주사
comb,빗질하다|자세히 조사하다|제거하다
lock,잠그다|갇히다|고정시키다|자물쇠|닫다
permission,허가|허락|허용|승인|동의
neighbor,이웃|주변 사람
impression,인상|생각|흉내
the peaceful reunification of Korea,
few,몇몇의|거의 없는|소수의|소수의 사람|약간의
tape,테이프|녹음하다|붙이다|녹화하다|줄자
matter,문제|중요하다|물질|중요한 것|사안
magic,마술|마법|매직|주술|요술
mouse,마우스|생쥐|쥐
monthly,월간|한달에 한번|매달|한 달의
knee,무릎|슬관절
short,짧은|단기의|단편|간단한|단거리
skinny,마른|깡마른|스키니|날씬한|사실
leg,다리|발|의족|경기
customer,고객|소비자|단골
creativity,창조성|창조력|창의성
monitor,모니터링|감시하다|조사하다|모니터|감독하다
great,위대한|큰|훌륭한|좋은|많은
waterproof watch,
be broken,
watch,보다|지켜보다|관람하다|시계|관찰하다
automatic,자동의|자연적으로|무의식적인
exhibition,전시|작품|박람회|시범|공연
one’s private life,
paparazzi,
peek,몰래 들여다보다|엿보기|엿보다
entertainment,엔터테인먼트|연예|오락|즐거움|여흥
annoy,짜증나다|성가시다|화가 나다|귀찮다|불쾌하다
tabloid,타블로이드판 신문|선정적인|대중 연예신문
gossip,소문|험담|가십|수다|뒷말
with long-life batteries,
extra,추가의|여분의|특별한|별도로|임시의
basic,기본적인|기초적인|간단한|근본적인|단순한
look for,찾다|주세요|위해|원하다|찾아보다
mobile,모바일|휴대전화|무선|모빌|활동적인
sign up,등록하다|가입|신청하다
the amount of,
bury,묻다|묻히다|매장하다|가리다
landfill,쓰레기 매립지|매립식 쓰레기 처리|매립지
garbage,쓰레기|찌꺼기
though,비록 …일지라도|그러나|…임에도 불구하고|…이지만|그래도
culture,문화|배양|문명
each other,서로|상호
get along with,
hilarious,유쾌한|법석대는|즐거운
episode,에피소드|…회|사건
sitcom,시트콤|시트콤족|상황 희극
seem to,
in particular,특히|특별히|그 중에서도|상세히|개별적으로
unit,단위|…개|부대|장치|계열사
approximately,약…|대략|정도|…여
come down,떨어지다|내려오다|내려가다
be inclined to,
stand up to,견디다|맞서다|…에 과감히 맞서다
get on,말하다|타다|일어나다|오르다|무릎 꿇다
a ~ point of view,
in some respect,
a little,
What do you think of~,
encouraging,장려하는|고무적인|부추기는|격려|북돋다
promise,약속하다|말씀드리다|공약하다|유망|장담하다
marketing,마케팅|홍보|영업
product,제품|상품|생산물|결과물|물건
quite,꽤|아주|상당히|상당수의|완전히
research,연구|조사|탐구|탐사
move on,더 좋은 일자리로 옮기다|성장하다|넘어가다
plausible,그럴듯한|정말 같은|외양만 좋은
then,그 이후에|그렇다면|그 당시의|그래서|게다가
multiple choice,
problem,문제|과제|고민|의문|골칫거리
on the test,
taught,가르쳤다|배웠다
chapter,장|챕터|편
possible,가능한|할 수 있는|최선
exam,시험|조사
be ready for,
chief,장관|최고의|추장|국장|주요한
invite,초대하다|초청하다|부르다|권하다|초래하다
biology,생물학
Cancer,암|악성 종양|게자리
speech,연설문|연설|말|말하기|언어
PDA,personal digital assistant(개인 휴대용 정보 단말기)|public display of affection(공공장소에서 하는 애정 행각)
field,분야|현장|들판|…장(場)|경기장
technology,기술|과학 기술|테크놀러지|공학
latest,최근의|이번|최신의|새로운|늦어도
work on,작업하다|수리하다|…에 작용하다
economics,경제|경제학
topic,주제|화제|토픽|관심|의제
a long way,
introduction,도입|소개|서문|입문|머리말
essay,에세이|논문|작문|시도하다|수필
grammar,문법
in order to,
foreign,외국의|대외적인|수입의|맞지 않는|이질의
habit,습관|버릇|관습|경향|의복
wake up,cause to become awake or conscious
one day,어느 날|하루|언젠가는|당일|한때는
black out,정전|블랙아웃|보도 관제|의식을 잃다|등화관제
tipsy,취해서 비틀거리는|거나하게 취한|기우뚱한
another,다른|또|더|하나|다시
court,법원|법정|재판소|판사|코트
accuse,비난하다|혐의를 받다|고소하다|피의자
invest,투자하다|투입하다|쏟다
decision,결정|판결|선택|결단|결심
fault,고장|잘못|결점|사고|단층
call up,소집|징병|호출
hang around,be about
bump into,우연히마주치다|마주치다|우연히 만나다
seriously,심각하게|진지하게|정말|크게|심하게
nag,잔소리하다|고질적인|징징대다|괴롭다|악재
inconsiderate,경솔한|배려하지 않는|분별없는
lazy,게으른|나태한|나른한
cheat on,
couple,부부|커플|결합하다|몇|결혼하다
divorce,이혼|분리|분열|결별
come over,집에 오다|들르다|들리다
introduce,도입하다|소개하다|선보이다|제출하다|발표하다
caring,돌봐주는|배려하는|양육|관심|보살핌
modest,겸손한|적당한|수수한|정숙한
sociable,사교적인|붙임성 있는|친목회
role model,역할 모델|모범이 되는 사람
own,자신의|스스로 하는|…자체의|독자적인|직접의
aunt,이모|고모|숙모|아주머니
find,찾다|발견하다|알다|알아보다
get to,되다|가다|싶다|시작하다|도착하다
once,한 번|한때|일단|옛날|언젠가
stuck up,
blind date,소개팅|미팅|블라인드 데이트
pollute,오염시키다|분위기를 흐리다
factory,공장|제조소|회사|팩토리
get worse,
air pollution,대기 오염|공기 오염
dirty air,
cough,기침|콜록
get rid of,제거하다|삭제하다|…에서 벗어나다|폐지하다|처리하다
trained nurse,정규 간호사(graduate nurse)
specially,특별히|특수하게
perform surgery,
surgeon,외과의사|군의관
often,종종|자주|많은 경우에|흔히|가끔
operating room,수술실
surgery,수술실|수술|외과
patient,환자|인내심|참을성이 있는|끈기 있는
chemical,화학적인|화학물질|화합물
imagine,상상하다|생각하다|짐작하다
water supply,급수|급수량|상수도
trust,신뢰|믿음|신탁|기업합동|신용
mineral water,광천수|탄산수|청량음료
tap water,수돗물|통에서 따른 물
secondhand smoke,간접 흡연
last,지난|마지막의|지속되다|최종의|끝
resolution,해상도|해결|결의|결심|결정
be stressed out,
go away,가버리다|사라지다|없다|떨어지다|나가다
have a break,
stomachache,복통|배가 아프다|배탈
medicine,의학|약|의술|의사직
take care of,돌보다|관리|책임|신경쓰다|처리
rest,나머지|휴식|쉬다|안심|죽다
aspirin,아스피린|그 정제|진통제
meal,식사|한끼|먹다|음식|가루
healthful,건강에 좋은|건전한|건강한
flu,독감|감기|인플루엔자
What’s wrong with,
call it a day,퇴근하다|일과를 끝내다|그만 하자고 말하다
puffy,한 바탕 부는|휙 부는|부푼
whisper,속삭이다|속삭임|휘파람 불다
approach,접근하다|방법|접근법|다가오다|도달하다
bar,바|술집|막대|판매대
smile,미소|웃다|미소 짓다|웃음|스마일
in public,공공|국민|공|대중|공개적으로
embarrass,부끄럽게 하다|당황하다|난처하게 하다|어리둥절하게 하다|방해하다
seek,찾다|추구하다|모색하다|노력하다|구하다
ad,서기 …년|광고
prom,무도회|졸업무도회|프롬 |댄스
apologize,사과하다|사죄하다|죄송하다|미안하다
regret,후회하다|유감|아쉬움
temper,성격|화
lose,잃다|지다|길을 잃다|상실하다|사라지다
pain,통증|고통|진통|아프다|괴로움
prejudice,편견|편향|선입관|손상
appearance,외모|출연|겉모습|출전|출석
maybe,아마|어쩌면|아마도|혹시|그럴지도 모른다
jealous,질투하는|부러워하는|시기하는|탐내는
must be,
dumb,멍청한|말이 없는|바보|덤|어리석은
gorgeous,멋진|우아한|예쁜|화려한
claustrophobic,폐쇄 공포증의|폐쇄 공포증의 사람|폐쇄 공포증을 유발하는
become,…이 되다|어울리다|…해지다
sort,정렬하다|분류하다|종류|어떤|방식
lock in,고정화|속박|제약
pale,창백해지다|연한|엷은|안색이 안 좋은
get out of,나오다|나가다|가다|벗어나다|꺼내다
freak out,환각 상태|이상한 행동
priceless,대단히 귀중한|값을 매길 수 없는
burglar,도둑|강도|빈집 털이
luckily,다행히|운 좋게
a few,"몇|소수|일부분|약간|수십, 수백"
break into,침입하다|갑자기 …하기 시작하다|난입하다
defeat,패배시키다|이기다|물리치다|무찌르다
something,무언가|어떤 것|중요한 것|어떤 일|조금
hard time,어려운 시기|힘든 시간|고생하다|불경기
gotten,걸린
bark,나무 껍질|짖다|헛다리 짚다|고함을 치다|말만 그렇다
noise,소음|잡음|소리|시끄러움|소란
exhausted,다 써버린|소모된|기진맥진한
hold up,들다|수 있다|지키다|연기하다|지내다
traffic,교통|트래픽|차|통행|거래
step on,페달을 밟고 여는|…을 밟다|발을 걸다
end up,...게 되다|결국 ... 되다|끝나다|...고 말았다
step up,강화하는|높이다|나서다|올리다|상승하다
forward,앞으로|전진하는|발전한|포워드|진보적인
dining car,식당차
announcement,발표|말하다|성명|밝히다|공지
abstain,삼가다|절제하다|끊다
request,요청|요구|신청|청구|부탁
seat belt,안전띠|안전 벨트|좌석 벨트
fasten,매다|조이다|채우다|고정하다
seat,앉다|자리|좌석|의석|시트
in front of,앞에|앞길에|눈앞에서|앞쪽
pull over,차를 길가로 붙이다|차를 길가에 대다|길 한쪽에 세우다
traffic jam,교통 체증|교통 정체|교통 혼잡
deal,다루다|거래|대처하다|계약|주다
nowhere,아무 데도|어느 곳
get off,내리다|마치다|제거하다
avenue,길|…가|방법
station,정거장|역|방송국|기지|주둔하다
transfer,넘겨주다|옮기다|갈아타다|바꾸다|물려주다
directly,직접적으로|곧바로|곧장|똑바로|일직선으로
lobby,로비|압력 단체|공작하다
cafeteria,구내 식당|카페테리아
taxi stand,택시 승차장|손님을 기다리는 택시용의 대기소
stress,스트레스|강조하다|압박|중점을 두다
release,발표하다|개봉하다|발매하다|공개하다|출시하다
rain check,다음 기회|우천 교환권|초대의 순연|다른 기회|구입 예약권
karaoke,노래방|가라오케
character,캐릭터|인물|특징|성격|문자
awfully,아주|상당히|너무
oboe,오보에|오보에 음전
Internet,인터넷
work out,되다|알다|운동하다|해결하다|이끌어내다
gym,체육관|헬스장|체육|체조
sometimes,때때로|가끔|종종|어떤 때|이따금
join,참여하다|가입하다|합치다|잇다|만나다
nightclub,나이트클럽
stole,훔쳤다|steal의 과거형
gold medal,금메달
table tennis,탁구|핑퐁
workaholic,일 중독자|지나치게 일하기|일벌레
part time,시간제인|아르바이트|파트타임의|비정규직의
climb,오르다|등반하다|상승하다|넘다
could be,아마|그럴지도
hobby,취미
thought,생각|사상|사고|고려|관심
tasty,맛있는|맛좋은|맛난|먹음직스러운
flake,얇은 조각|플레이크|눈|속이다|자다
snowfall,강설|강설량
inconsistent,일치하지 않는|조화되지 않는|모순된
beat,이기다|때리다|물리치다|비트|뛰다
match,경기|어울리다|성냥|짝|필적하다
below,아래에|…이하의|영하의
relief,구조|안도|완화|다행|편안함
clear up,검거|검거의|명료하게 하다
weatherman,일기 예보 아나운서|일기 통보관|기상 캐스터
let up,그만두다|완화되다|멎다
terrible,끔찍한|무서운|좋지 않은|엄청난|약한
dry,건조한|마른|말린|드라이|건성의
rainy season,장마철|우계|우기
shower,샤워기|샤워|소나기|쏟아지다
chance,기회|가능성|위험|우연|가망
forecast,예상|전망하다|예보|내다보다
outside,밖의|외부의|외에|외곽|야외에
cold front,한랭 전선|한파
muggy,후덥지근한|무더운|눅눅한
waste,쓰레기|낭비하다|쇠약하다
being,...것|...됨|...당함
share,공유하다|나누다|점유하다|주식|주가
stock list,주식 시세표|공채 시세표
manager,매니저|감독|경영자|관리인|부장
exchange,교환|환율|거래소|주고 받다|바꾸다
upset,화난|기분 나쁜|당황|혼란|아픈
policy,정책|제도|방침|규정|방책
forgot,잊었다|까먹었다|두고 갔다|forget의 과거·과거 분사형
return,돌아오다|복귀하다|돌아가다|귀국|반환하다
department,부|부서|학과|전문|과
bargain,흥정하다|매매 계약|헐값|싼 물건
bought,샀다|구입했다|장만했다
durable,내구력이 있는|튼튼한|오래 견디는
leather,가죽|피혁
genuine,진실된|진짜의|성실한|순수한
popular,인기 있는|대중의|유명한|국민의
recommend,권고하다|추천하다|건의하다|제시하다
assortment,분류|한데 넣은 것|구색
certainly,분명히|확실히|물론이지|정말로|절대적으로
gotta,해야겠다|해야된다
service charge,서비스료|서비스 요금|수수료
slight,약간의|조금|작은|사소한|가벼운
warranty,보증|담보|보상|워런티|수명
terribly,매우|정말|심각하게|지독하게
rush,서두르다|돌진하다|급한|재촉하다|혼잡
turn,되다|돌리다|켜다|바꾸다|변하다
thin,얇은|마른|묽은
toast,토스트|건배|축배
propose,제안하다|제시하다|제의하다|청혼하다|신청하다
gin and tonic,진토닉
on the rocks,얼음을 넣은|파산하여|파멸할 지경에
whisky,위스키(whiskey)
whereas,…임에 비하여|…인데도|서문
plain,평원|평범한|분명한|단순한|수수한
sour,악화시키다|신
between,…간의|사이에|양측|둘
homemade,집에서 만든|손으로 만든|국산의|사제의
concern,우려|관한|걱정|문제|관심사
appreciate,감사하다|고마워하다|오르다|이해하다|감상하다
talented,재능 있는|뛰어난|유능한|실력 있는
taste,맛|맛보다|취향|미각
out of this world,월등히 좋은|탁월한|현실과 동떨어진
check out,보다|확인하다|조사하다|퇴실하다|빌리다
reservation,예약|보호 구역|유보|의구심|거리낌
yet,아직|그러나|하지만|그런데도|여전히
fluent,유창한|능통한|구사하는
communication,통신|소통|커뮤니케이션|대화|교통
financially,재정적으로|경제적으로|돈과 관련된
support,지원하다|지지하다|뒷받침하다|돕다|유지하다
while,…하면서|…동안에|…에 반하여|동시에|잠시
reside,…에 있다|거주하다|살다|체류하다|이주
state,국가|상태|주|정부|…을 분명히 말하다
country,나라|국가|지역|조국|분야
out of order,고장난|알맞지 않은|상태가 나쁜
atm,현금지급기|자동화기기|비동기 전송 방식
cooperation,협력|협조|교류|협동조합
straight,연속한|직선|바로|똑바로|곧장
drop,하락|떨어지다|떨어뜨리다|그만두다|내리다
even,평평해지다|균등해지다|백중해지다|같은
under the influence,영향으로|음주|술 취하여
particular,특정한|특별한|특수한|특히 이|특이한
preference,선호|좋아하기|특혜|우선권|편애
compact,소형의|콤팩트|아주 작은|조밀한|맹약
weight,체중|무게|웨이트|비중|…급
send,보내다|전하다|파견하다|알리다|내다
ready,completely prepared or in condition for immediate action or use or progress
stain,얼룩|오염|오점|자국|더럽히다
washable,물빨래가 가능한|물빨래를 할 수 있는 직물|빨 수 있는
curled,곱슬한 머리칼의|서린|잎말이병에 걸린
include,포함하다|포괄하다|함유하다
payment,지불|지급|대금|돈|상환
take over,인수하다|빼앗다|맡다|잡다|대신하다
leave,떠나다|남기다|맡기다|출발하다
lease,임대하다|리스|임대 계약서|대여하다|민간자본유치사업
come by,들르다|얻다|통과하다
park,박|공원|경기장|주차하다
privilege,특권|영광|특례|혜택
entrance,입구|입학|들어가기|현관
private,민간의|개인의|사립의|사적인|사설의
available,이용할 수 있는|이용 가능한|시간이 있는|유효한|유용한
advertise,광고하다|홍보하다|선전하다|알리다
rock bottom,최저선|맨 밑바닥|최저인
mean,의미하다|뜻|수단|평균|진심으로
but,~만|하지만|그러나|아니면|뿐만 아니라
control,제어하다|통제하다|관리하다|조절하다|지배하다
wear the pants,내주장하다|주도권을 쥐다|모든 것을 꾸려나가다
range,범위|이르다|영역|산맥|사거리
steep,가파른|급격한|경사|극단적인
negotiate,협상하다|합의하다|협의하다|빠져나가다|극복하다
rate,속도|비율|평가되다|요금|가격
usually,보통|대개|일반적으로|늘|평소
electricity,전기|전기학|전력|전류|충격
mistake,실수|잘못|착각|오해
stomach,위장|배|뱃속|복부|긴장
lie,거짓말|눕다|놓여 있다|…에 달려 있다|존재하다
comfortably,편안하게|수월하게|편리하게
grind,연삭|분쇄 |갈다|연마|멈추다
snore,코를 골다|코고는 소리
bet,내기|걸다|틀림없이|베팅|단언하다
hit the nail on the head,적절한 말을 하다|요점을 찌르다
rent,세|빌리다|임대하다|렌트|집세
suit,정장|소송|옷|어울리다
setup,설립|설치|마련|구성|세우다
shall,…할까요|…해야 하다|…일 것이다|…해주어야겠다|…시키겠다
