角,뿔|4분의 1|다른 말의 끝에 붙어 명사를 이루어 범위가 비교적 작고 취미·기호 또는 소망이 같은 사람들이 늘 모여 활동하는 장소를 가리킴
教,가르치다|가르침
见面,대면하다|만나다|서로 만나다
健康,건강|건전|정상
讲,이야기하다|설명하다|상의하다
简单,간단하다|단순하다|평범하다
检查,검사하다|점검하다|검열하다
极,정점|절정에 이르다|최고의
护照,여권|증명서|통행증
或者,아마|…든지|또는
会议,회의
花园,화원|꽃밭
环境,환경|주위 상황
黄,황색|선정적이다|깨지다
换,교환하다|갈다|금과 화폐의 교환 비율
还,아직|돌아가다|성
坏,나쁘다|나쁘게 하다|나쁜 생각
画,그리다|그림|그림으로 장식된
花,꽃|꽃이나 꽃무늬로 장식한|때려서 상처를 입히다
黑板,흑판|칠판
河,강|은하계|황허
还是,여전히|아직도|‘…하는 편이 좋다’는 뜻을 나타냄
害怕,두려워하다|무서워하다
故事,선례|고사|옛날 있었던 일
果汁,과일즙|과일 주스
过去,죽다|과거|지나가다
国家,국가|나라
关于,…에 관한|…에 관해서|…에 관해
关心,관심을 갖다|관심을 기울이다|관심
关系,관계|관련|관계하다
关,닫다|관문|관계
刮风,바람이 불다
公园,공원
根据,근거하다|근거|의거하다
更,바꾸다|경|더욱
跟,뒤꿈치|따라가다|동작의 대상을 이끌어 들일 때 쓰임
感冒,감기|감기에 걸리다
干净,깨끗하다|깔끔하다|하나도 남지 않다
刚才,방금|지금 막|이제 금방
敢,용기가 있다|감히|감히 …하다
复习,복습|복습하다
附近,부근|근처|부근의
分,나누다|분
发现,발견|나타내다|발견하다
发烧,열이 나다|얼굴이 붉어지다|발열
放心,마음을 놓다|안심하다|방일한 마음
方便,편리하다|넉넉하다|적당하다
放,놓아 주다|파하다|…으로
而且,또한|게다가|…뿐만 아니라
耳朵,귀
饿,배고프다|굶다|굶주리다
多么,얼마나|어느 정도|참으로
锻炼,단련하다|쇠를 불리다|단조하다
段,사물이나 시간 따위의 한 구분을 나타냄|도막|방법
短,짧다|결핍되다|결점
动物,동물
冬,겨울|둥둥|성
东,동쪽|주인|초대자
地图,지도
地铁,지하철
地方,지방|곳|그 지방
电子邮件,전자 우편|이메일|전자메일|E-mail
电梯,엘리베이터|승강기
低,낮다|숙이다
灯,등|액체 또는 기체를 사용하는 가열용 연소기|전자관
地,"단어나 ‘词组’가 ‘状语’로 쓰여, 동사·형용사를 수식할 경우에 쓰이며, 그 밖의 경우에는 ‘的’를 쓰고, 특히 ‘状语’인 형용사 앞에 정도를 나타내는 부사가 있을 때는 일반적으로 꼭 ‘地’를 씀|지구|육지"
打算,계획하다|생각|계획
打扫,청소하다|소제하다|나머지를 없애다
担心,염려하다|걱정하다|근심하다
当然,당연하다|물론이다|당연히
蛋糕,카스텔라|재정 경비|사회적 재부
带,띠|타이어|지니다
聪明,총명하다|영리하다|똑똑하다
词语,글자|단어와 어구|단어와 구
出现,출현하다|발견되다|나타나다
春,봄|생기|정욕
除了,…을 제외하고|…외에 또|…외에 …도
厨房,부엌|주방|요리사
迟到,지각하다|연착하다|늦게 도착하다
衬衫,셔츠|와이셔츠|샤쓰
城市,도시
成绩,성적|성과|기록
超市,슈퍼마켓
差,차이|다소|다르다
层,층|겹친
草,초본식물의 총칭|연료나 사료로 쓰이는 벼·보리 등의 줄기|산야
参加,참가하다|참여하다|참석하다
菜单,메뉴|식단|차림표
才,재능|재능이 있는 사람|…에야
鼻子,코
必须,반드시 …해야 한다|꼭 …해야 한다|기필코 …해야 한다
比赛,시합|경기|시합하다
冰箱,아이스박스|전기냉장고의 약칭|냉장고
宾馆,영빈관|여관|호텔
比较,비교하다|비교적|…에 비해
别人,남|다른 사람|타인
表演,상연|연출|연기
表示,가리키다|의미하다|나타내다
变化,변화|달라지다|바뀌다
北方,북쪽|화북 지방
被,이불|덮다|…당하다
饱,배부르다|충분히|만족시키다
包,싸다|보자기|포
办公室,사무실|행정 부서|오피스
帮忙,일을 돕다|원조하다|일을 거들어 주다
办法,방법|수단|방식
半,2분의 1|한가운데의|반쯤
搬,운반하다|이사하다|그대로 답습하여 사용하다
班,반|조|정시에 혹은 정기적으로 발차하거나 운항하는
把,쥐다|끌채|자루가 있는 기구에 쓰임
阿姨,이모|아주머니|어린이가 보모를 부르는 칭호
安静,조용하다|고요하다|평온하다
爱好,애호하다|취미|깨끗한 것을 좋아하다
矮,작다|낮다|낮추다
啊,경이·찬탄을 나타냄|캐묻거나 다시 말해주기를 요청할 때 쓰임|허어
踢足球,축구를 하다
左边,왼쪽|좌측|좌
最,가장|최고|모으다
走,걷다|뛰다|저
自行车,자전거
准备,준비하다|…하려고 하다|…할 작정이다
知道,알다|이해하다|깨닫다
正在,마침|바야흐로
真,진실하다|정말|진
着,수|넣다|그렇지
找,찾다|찾아가다|자초하다
丈夫,사나이|남편|성년 남자
张,열다|당황하다|종이·모피·책상·의자·침대 따위의 넓은 표면을 가진 것을 세는 단위
早上,아침
再,재차|다시 계속되다|성
运动,운동|운동하다|스포츠
远,멀다|멀리하다|성
元,처음|주요한|원소
鱼,물고기|‘渔yú’와 통용|성
